district,population
Thane,11060148
North Twenty Four Parganas,10009781
Bangalore,9621551
Pune,9429408
Mumbai Suburban,9356962
South Twenty Four Parganas,8161961
Barddhaman,7717563
Ahmadabad,7214225
Murshidabad,7103807
Jaipur,6626178
Nashik,6107187
Surat,6081322
Allahabad,5954391
Paschim Medinipur,5913457
Patna,5838465
Hugli,5519145
Rangareddy,5296741
Nadia,5167600
East Godavari,5154296
Purbi Champaran,5099371
Purba Medinipur,5095875
Guntur,4887813
Haora,4850029
Muzaffarpur,4801062
Belgaum,4779661
Moradabad,4772006
Ghaziabad,4681645
Nagpur,4653570
Chennai,4646732
Azamgarh,4613913
Lucknow,4589838
Kanpur Nagar,4581268
Ahmadnagar,4543159
Krishna,4517398
Kolkata,4496694
Jaunpur,4494204
Madhubani,4487379
Sitapur,4483992
Bareilly,4448359
Gorakhpur,4440895
Agra,4418797
Gaya,4391418
Solapur,4317756
Visakhapatnam,4290589
Samastipur,4261566
Jalgaon,4229917
Chittoor,4174064
Vadodara,4165626
Muzaffarnagar,4143512
Malappuram,4112920
Hardoi,4092845
Anantapur,4081148
Raipur,4063872
Kurnool,4053463
Mahbubnagar,4053028
Kheri,4021243
Kancheepuram,3998252
Maldah,3988845
Saran,3951862
Hyderabad,3943323
Darbhanga,3937385
West Godavari,3936966
Vellore,3936331
Pashchim Champaran,3935042
Kolhapur,3876001
Jalpaiguri,3872846
Rajkot,3804558
Sultanpur,3797117
Karimnagar,3776269
Thiruvallur,3728104
Aurangabad,3701282
Jodhpur,3687165
Bijnor,3682713
Budaun,3681896
Varanasi,3676841
Alwar,3674179
Aligarh,3673889
North West Delhi,3656539
Ghazipur,3620268
Bankura,3596674
Kushinagar,3564544
Ganjam,3529031
Warangal,3512576
Birbhum,3502404
Bulandshahar,3499171
Ludhiana,3498739
Vaishali,3495021
Nalgonda,3488809
Bahraich,3487731
Salem,3482056
Saharanpur,3466382
Viluppuram,3458873
Coimbatore,3458045
Meerut,3443689
Gonda,3433919
Sitamarhi,3423574
Rae Bareli,3405559
Prakasam,3397448
Nanded,3361292
Durg,3343872
Siwan,3330464
Nagaur,3307743
Thiruvananthapuram,3301427
Ernakulam,3282388
Indore,3276697
Purnia,3264619
Barabanki,3260699
Ballia,3239774
Pratapgarh,3209141
Thrissur,3121200
Banaskantha,3120506
Unnao,3108367
Deoria,3100946
Kozhikode,3086293
Mumbai City,3085411
Tirunelveli,3077233
Katihar,3071029
Udaipur,3068420
Madurai,3038252
Bhagalpur,3037766
Medak,3033288
Uttar Dinajpur,3007134
Shahjahanpur,3006538
Satara,3003741
Mysore,3001127
Begusarai,2970541
Sri Potti Sriramulu Nellore,2963557
Rohtas,2959918
Puruliya,2930115
Ranchi,2914253
Amravati,2888445
YSR,2882469
Bhavnagar,2880365
Nalanda,2877653
Nagaon,2823768
Sangli,2822143
Koch Bihar,2819086
Araria,2811569
Palakkad,2809934
Khammam,2797370
Yavatmal,2772348
Junagadh,2743082
Adilabad,2741239
South Delhi,2731929
Bhojpur,2728407
Tiruchirappalli,2722290
Srikakulam,2703114
Maharajganj,2684703
Dhanbad,2684487
Tumkur,2678980
Sikar,2677333
Bilaspur,2663629
Kollam,2635375
Raigarh,2634200
Fatehpur,2632733
Cuttack,2624470
Cuddalore,2605914
Barmer,2603751
Buldana,2586258
Bid,2585049
Ajmer,2583052
Gulbarga,2566326
Gopalganj,2562012
Siddharth Nagar,2559297
Nizamabad,2551335
Bharatpur,2548462
Mathura,2547184
West Delhi,2543243
Aurangabad,2540073
Kannur,2523003
Mayurbhanj,2519738
Firozabad,2498156
Mirzapur,2496970
Amritsar,2490656
Tiruppur,2479052
Faizabad,2470996
Tiruvannamalai,2464875
Basti,2464464
Jabalpur,2463289
Latur,2454196
Bellary,2452595
Giridih,2445474
Sabarkantha,2428589
Bhilwara,2408523
Thanjavur,2405890
Ambedkar Nagar,2397888
PanchMahal,2390776
Sagar,2378458
Bhopal,2371061
Rewa,2365106
Bikaner,2363937
Surguja,2359886
Vizianagaram,2344474
Rampur,2335819
Baleshwar,2320529
Kheda,2299885
Gurdaspur,2298323
Purbi Singhbhum,2293919
South West Delhi,2292958
Erode,2251744
Khordha,2251673
North East Delhi,2241624
Supaul,2229076
Satna,2228935
Nawada,2219146
Mau,2205968
Chandrapur,2204307
Jalandhar,2193590
Dhar,2185793
Bijapur,2177331
Jamnagar,2160119
Dindigul,2159775
Balrampur,2148665
Jhunjhunun,2137045
Alappuzha,2127789
Dohad,2127086
Sundargarh,2093437
Anand,2092745
Kachchh,2092371
Chhindwara,2090922
Dakshina Kannada,2089649
Bokaro,2062330
Dhule,2050862
Churu,2039547
Pali,2037573
Mahesana,2035064
Banka,2034763
Gwalior,2032036
Pilibhit,2031007
Firozpur,2029074
Madhepura,2001762
Jhansi,1998603
Ujjain,1986864
Kottayam,1974551
Ganganagar,1969168
Morena,1965970
Jalna,1959046
Chandauli,1952756
Kota,1951014
Dhubri,1949258
Davanagere,1945497
Virudhunagar,1942288
Palamu,1939869
Raichur,1928812
Sonitpur,1924110
Saharsa,1900661
Patiala,1895686
Haridwar,1890422
Bagalkot,1889752
Farrukhabad,1885204
Krishnagiri,1879809
West Nimar,1873046
Kanniyakumari,1870374
Mainpuri,1868529
Sonbhadra,1862559
Dharwad,1847023
Darjiling,1846823
Jyotiba Phule Nagar,1840221
Parbhani,1836086
Jalor,1828730
Jajapur,1827192
Akola,1813906
Faridabad,1809733
Mandya,1805769
Kendujhar,1801733
Banda,1799410
Banswara,1797485
Ramabai Nagar,1796184
Hassan,1776421
Hanumangarh,1774692
Etah,1774480
Chhattarpur,1762375
Jamui,1760405
Surendranagar,1756268
Shimoga,1752753
